 14:29:46			0.33;0.00;0.00;-95.31;0.00;0.00;197;
14:29:47			0.35;0.00;0.00;-95.01;0.00;0.00;198;
14:29:48			0.21;0.00;0.00;-96.92;0.00;0.00;199;
14:29:49			0.02;0.00;0.00;-99.71;0.00;0.00;200;
14:29:50			0.00;0.00;0.00;-100.00;0.00;0.00;201;
14:29:51			0.00;0.00;0.00;-100.00;0.00;0.00;202;
14:29:52			0.00;0.00;0.00;-100.00;0.00;0.00;203;
14:29:53			0.00;0.00;0.00;-100.00;0.00;0.00;204;
14:29:54			0.30;0.00;0.00;-96.04;0.00;0.00;205;
14:29:55			1.31;0.00;0.00;-81.82;0.00;0.00;206;
14:29:56			20.00;0.00;0.00;197.07;0.00;0.00;207;
14:29:57			20.00;0.00;0.00;196.92;0.00;0.00;208;
14:29:58			20.00;0.00;0.00;196.92;0.00;0.00;209;
14:29:59			20.00;0.00;0.00;197.07;0.00;0.00;210;
14:30:0			20.00;0.00;0.00;196.92;0.00;0.00;211;
14:30:1			20.00;0.00;0.00;197.07;0.00;0.00;212;
14:30:2			20.00;0.00;0.00;197.07;0.00;0.00;213;
14:30:3			20.00;0.00;0.00;197.07;0.00;0.00;214;
14:30:4			20.00;0.00;0.00;197.07;0.00;0.00;215;
14:30:5			20.00;0.00;0.00;197.07;0.00;0.00;216;
14:30:6			20.00;0.00;0.00;197.07;0.00;0.00;217;
14:30:7			20.00;0.00;0.00;196.92;0.00;0.00;218;
14:30:8			20.00;0.00;0.00;197.07;0.00;0.00;219;
14:30:9			20.00;0.00;0.00;197.07;0.00;0.00;220;
14:30:10			20.00;0.00;0.00;197.07;0.00;0.00;221;
14:30:11			20.00;0.00;0.00;197.07;0.00;0.00;222;
14:30:12			20.00;0.00;0.00;196.92;0.00;0.00;223;
14:30:13			20.00;0.00;0.00;197.07;0.00;0.00;224;
14:30:14			20.00;0.00;0.00;197.07;0.00;0.00;225;
14:30:15			20.00;0.00;0.00;197.07;0.00;0.00;226;
14:30:16			20.00;0.00;0.00;196.92;0.00;0.00;227;
14:30:17			20.00;0.00;0.00;196.92;0.00;0.00;228;
14:30:18			20.00;0.00;0.00;197.07;0.00;0.00;229;
14:30:19			20.00;0.00;0.00;197.07;0.00;0.00;230;
14:30:20			20.00;0.00;0.00;197.07;0.00;0.00;231;
14:30:21			20.00;0.00;0.00;197.07;0.00;0.00;232;
14:30:22			20.00;0.00;0.00;196.92;0.00;0.00;233;
14:30:23			20.00;0.00;0.00;197.07;0.00;0.00;234;
14:30:24			20.00;0.00;0.00;196.92;0.00;0.00;235;
14:30:25			20.00;0.00;0.00;197.07;0.00;0.00;236;
14:30:26			20.00;0.00;0.00;197.07;0.00;0.00;237;
14:30:27			20.00;0.00;0.00;196.92;0.00;0.00;238;
14:30:28			20.00;0.00;0.00;197.07;0.00;0.00;239;
14:30:29			20.00;0.00;0.00;197.07;0.00;0.00;240;
14:30:30			20.00;0.00;0.00;196.92;0.00;0.00;241;
14:30:31			20.00;0.00;0.00;197.07;0.00;0.00;242;
14:30:32			20.00;0.00;0.00;196.92;0.00;0.00;243;
14:30:33			20.00;0.00;0.00;197.07;0.00;0.00;244;
14:30:34			20.00;0.00;0.00;197.07;0.00;0.00;245;
14:30:35			20.00;0.00;0.00;197.07;0.00;0.00;246;
14:30:36			20.00;0.00;0.00;197.07;0.00;0.00;247;
14:30:37			20.00;0.00;0.00;197.07;0.00;0.00;248;
14:30:38			20.00;0.00;0.00;197.07;0.00;0.00;249;
14:30:39			20.00;0.00;0.00;197.07;0.00;0.00;250;
14:30:41			20.00;0.00;0.00;197.07;0.00;0.00;251;
14:30:42			2.04;0.00;0.00;-69.94;0.00;0.00;252;
